csf	constant	linearTrend	wm	global	motion-pitch	motion-roll	motion-yaw	motion-x	motion-y	motion-z	gm	compcor1	compcor2	compcor3	compcor4	compcor5
10128.65681437703	1.0	0.0	7731.581567319399	9953.35788592434	-0.0513	-0.0668	0.0604	-0.0077	-0.5615	0.1517	8698.810556001623	-0.006111801650076271	-0.027227116199023627	0.05795098589109904	0.016812576429929532	-0.05922007851579908
10127.23975877638	1.0	1.0	7732.842705712256	9957.550306367672	-0.0546	-0.0647	0.0611	-0.0426	-0.5393	0.1578	8706.84969661472	0.022409046031783453	-0.09462701704647491	0.20455323948845994	-0.04176808465909818	-0.06329244828601766
10170.688692167209	1.0	2.0	7727.0554768668835	9940.68726163271	-0.0627	-0.0545	0.0739	-0.054	-0.5407	0.2033	8691.981304834762	0.019846144433691038	-0.09712627058303358	0.26134474927048496	-0.11399627900517435	0.1393615179437505
10128.99746981534	1.0	3.0	7725.634467202719	9947.974077671573	-0.0312	-0.0389	0.0693	-0.0385	-0.5289	0.1628	8700.802634583115	0.011601788154473894	-0.11004997368051339	0.1667128365054692	-0.08974881231634887	0.04823249616460471
10150.225883979301	1.0	4.0	7743.110832107346	9970.768826100644	-0.0134	-0.0437	0.0636	-0.0333	-0.5396	0.1026	8720.969896082803	0.018029378821017916	-0.09995594077553552	0.07049495831309568	0.17272198992563464	-0.07666264072626938
10168.718242694806	1.0	5.0	7741.487169744319	9971.77460360139	-0.0219	-0.036	0.0527	-0.0331	-0.5222	0.0879	8719.615963949414	-0.007719709372284611	-0.09534763893371984	0.05634210504350338	0.15007541038803385	-0.027203938549971163
10146.792651684253	1.0	6.0	7745.023529068588	9998.98043733893	-0.0205	-0.0294	0.0594	-0.0355	-0.5067	0.0846	8739.977818090978	0.006039731363515117	-0.08229202339847308	0.08659859178088773	0.12651204793688708	-0.15972164077641227
10202.756392045454	1.0	7.0	7731.694696885146	9990.012412946195	-0.0117	-0.0324	0.0502	-0.0212	-0.5069	0.075	8736.58863797509	-0.014769820353309262	-0.10482536636721622	-0.015584935651643829	0.12373035049968009	-0.10408412557426305
10192.262454342532	1.0	8.0	7729.842580915179	9973.26216492733	-0.0053	-0.0504	0.038	-0.0086	-0.5143	0.1003	8710.052025724968	-0.014727435118439103	-0.10054790351691067	0.022110824015254233	0.052563623983252386	-0.09450970622007523
10157.175616375811	1.0	9.0	7735.768066152597	9985.474680616586	-0.0012	-0.0452	0.044	-0.0205	-0.4982	0.1287	8722.791420311065	-0.026622393953216056	-0.1061558021870812	0.015160390534997422	0.05720202644336568	-0.08164943422028942
10155.797769125405	1.0	10.0	7745.799418881899	9983.39120374014	-0.0091	-0.0476	0.0278	-0.0003	-0.502	0.101	8715.272118577657	-0.024332519150607957	-0.08047000301592185	0.04681351370702177	0.12514079942835604	-0.08567836170004077
10135.95217380276	1.0	11.0	7739.364806843547	9967.94759583941	0.0025	-0.055	0.0181	0.0129	-0.4972	0.0826	8705.268005308557	-0.04519309500536795	-0.06809951467518897	-0.012928232608080662	0.20973542248093338	0.06863488952989084
10128.300102729301	1.0	12.0	7734.434793653612	9949.348394839482	-0.016	-0.048	0.0299	-0.0019	-0.4676	0.0895	8691.183409017243	-0.0415170324580627	-0.06255567717353104	-0.04061179037082759	0.1445996084138598	0.02295781051552843
10119.919763342126	1.0	13.0	7740.560396078531	9963.272055828731	-0.0177	-0.0572	0.0231	0.0214	-0.4849	0.1365	8711.711320479712	-0.021225762076746788	-0.09088759318133985	0.1203565933315142	0.05496656232865475	-0.019229703879423955
10115.877644328328	1.0	14.0	7718.672008167614	9953.793878446195	0.0045	-0.0708	0.0364	0.0161	-0.4888	0.2051	8716.575712274875	-0.05949644583915713	-0.09770822312748662	-0.00478160430772114	-0.1411437637151723	0.027610995402744972
10097.961038961039	1.0	15.0	7736.725836799918	9936.84774862398	-0.0497	-0.0892	0.0148	0.0197	-0.4917	0.2036	8710.229866804451	-0.04213266531489853	-0.09024980038647182	0.10418847548824203	-0.019327100518384734	-0.13831590405708855
10157.055258218345	1.0	16.0	7734.130154601258	9955.528474644372	-0.0388	-0.0676	0.0057	0.015	-0.4732	0.1444	8704.399001804519	-0.05554850864082731	-0.07473588939046465	0.02617848719149051	0.0049410458867126025	-0.01714439458524393
10144.340287642046	1.0	17.0	7726.220753221388	9923.632579519735	-0.011	-0.0673	0.0087	0.0169	-0.4531	0.1679	8678.932274481394	-0.06437808851173112	-0.07662375740262345	-0.006971074100607361	-0.1004821246315466	-0.17624375526780509
10094.791713169643	1.0	18.0	7708.137130554992	9917.021868709557	-0.0665	-0.0696	0.0101	0.0273	-0.4471	0.221	8683.433313628992	-0.07368987744291766	-0.07280699534413453	0.02266243829104128	-0.2275547118560724	0.12656580761886047
10115.662109375	1.0	19.0	7716.856979885349	9949.641887806885	-0.1597	-0.0712	0.0407	0.0198	-0.4319	0.2041	8705.712598606815	-0.06446975549553476	-0.06443893728271088	0.12015927964852514	-0.22661356281924555	0.18033390513746336
10112.859019886364	1.0	20.0	7732.9095271915585	9942.649235318331	-0.1427	-0.07	0.0395	0.0066	-0.4607	0.1471	8705.19979317829	-0.05902013879557834	-0.09321665715170338	0.1406193346697546	-0.11160771395251397	0.09680635067094624
10129.287337662337	1.0	21.0	7741.163723366477	9973.421864803937	-0.1275	-0.066	0.0407	0.0096	-0.4365	0.1675	8733.009357824903	-0.06667346905397918	-0.0669564842853258	0.13901861837358476	-0.03348549675129154	0.05648748914793625
10161.056856229709	1.0	22.0	7743.170692217938	10007.702995747999	-0.0929	-0.0649	0.0336	0.0062	-0.4306	0.139	8738.12319392633	-0.06572495071051603	-0.04877693868536942	0.09529472380567337	0.00028271296563177795	0.033474840679755244
10085.941063818993	1.0	23.0	7740.259958020495	9988.318244706277	-0.0619	-0.0477	0.0222	0.0157	-0.4165	0.0962	8718.273014041624	-0.06895759791284026	-0.046467102875206306	0.005024782069733015	0.021937253109214048	0.028562590844659234
10133.268484933036	1.0	24.0	7716.657509638799	10003.819255734408	-0.0938	-0.0421	0.0094	0.0343	-0.4171	0.0662	8742.075465671323	-0.08080808646093413	-0.04353692999040785	-0.09401715685119662	-0.11259073457496187	0.00854354946312562
10159.36662312297	1.0	25.0	7732.316323939732	9977.58457852984	-0.0961	-0.0477	0.0224	0.0255	-0.4077	0.0998	8723.704205633236	-0.09501228797740767	-0.03065091944969193	-0.03516924931521545	-0.0030097938757668147	0.029215853100414316
10167.795181868913	1.0	26.0	7738.13025048194	9962.8537075264	-0.0468	-0.0584	0.0202	0.0132	-0.4116	0.1712	8695.991169475834	-0.09087927077314392	-0.0334878334229895	0.01206506996593504	0.013912288494122085	0.06951836070306239
10140.209288758117	1.0	27.0	7727.025251242898	9948.062527811508	-0.0569	-0.05	0.0397	0.0117	-0.3759	0.185	8706.754494629076	-0.10224569557038998	-0.038940340229682936	0.00994854236417982	-0.10012357292976773	0.022849468992136614
10120.383871499595	1.0	28.0	7730.93030565138	9967.435439448629	-0.0652	-0.0517	0.0627	-0.0015	-0.3682	0.1787	8717.990092287571	-0.09351405633359187	-0.03947997710297484	0.010583510608418709	-0.1163013690494655	-0.0036668460441881385
10153.096292867289	1.0	29.0	7744.0386414366885	9958.191342555678	-0.0725	-0.0678	0.0485	0.0016	-0.3542	0.1642	8713.709632751174	-0.08262379283403744	-0.03205291410881382	0.06672588409947998	-0.03725856265335847	-0.05717984610918961
10165.890415736607	1.0	30.0	7750.052586749188	9956.535369829726	-0.0405	-0.0654	0.0338	0.0245	-0.3511	0.1109	8717.634060815031	-0.0868270824972848	0.019026881921847944	-0.02613131666400217	0.08438853935873562	-0.06003115881148149
10179.384334415585	1.0	31.0	7734.739922001826	9947.230296342244	-0.0617	-0.0408	0.0411	0.023	-0.3283	0.1388	8699.66170954961	-0.0981721092077504	0.021890431746368764	-0.05569717107023558	-0.01854636974271157	0.008759970187027415
10142.00918856534	1.0	32.0	7721.885573381696	9949.111413408255	-0.0543	-0.048	0.0393	0.0389	-0.3128	0.1657	8715.015779546633	-0.08109826779304988	0.028951850995264837	-0.059271900612642814	-0.13041998124372273	-0.0004409614818744391
10171.109704748376	1.0	33.0	7732.798244850852	9967.933748671765	-0.0409	-0.0348	0.0254	0.0337	-0.3332	0.1287	8722.212772531482	-0.08931522327251716	0.042915063918384906	-0.05257259742627993	-0.01999632485119373	-0.03259278134246734
10159.553019734172	1.0	34.0	7740.087355671672	9959.753503437894	-0.0194	-0.0303	0.0301	0.0238	-0.314	0.1324	8711.19956151285	-0.08229389941939745	0.05707328948173456	-0.016723843524577016	0.024655340673183635	-0.023819122255580315
10129.613534902597	1.0	35.0	7731.068736429586	9977.09832938662	-0.028	-0.0367	0.0369	0.0165	-0.3384	0.0979	8721.381011378207	-0.07452477146523336	0.04049638842066213	-0.046598470161345565	0.040228748474421656	0.06196319537055479
10153.633808086444	1.0	36.0	7728.580239321225	9941.464324374558	-0.0375	-0.0385	0.0397	0.0047	-0.3147	0.1092	8695.547373676212	-0.0964563090918705	0.038155342994137385	-0.10695599643234092	-0.05531690109153149	-0.019434249320218047
10141.157549969561	1.0	37.0	7711.964166497565	9946.100554024237	-0.0217	-0.0331	0.033	0.0154	-0.3029	0.1397	8708.304811102511	-0.0886996386212525	0.05352988487054343	-0.1521739541850551	-0.15842723912632095	0.09410139381843169
10121.283475801541	1.0	38.0	7719.213677201705	9973.993660798584	-0.0326	-0.0349	0.0338	0.0044	-0.2832	0.1163	8719.42591194737	-0.08746063751342259	0.052319458329975206	-0.18548829948572143	-0.12682860227518553	0.00251351904053619
10096.078442065747	1.0	39.0	7745.487396890219	9989.83573637464	-0.0343	-0.0607	0.0031	0.0159	-0.2857	0.0644	8728.865338919128	-0.055145446704569535	0.08336982605972439	-0.0858150064890901	0.05854353007296083	-0.06302764981565044
10131.478858056007	1.0	40.0	7749.330301339286	9997.974212742405	-0.042	-0.0615	0.0037	0.0273	-0.2885	0.0955	8722.231210545786	-0.048817763832687364	0.08701931105459805	-0.022705488476787335	0.09557721411678152	0.025606627716336042
10136.941501369723	1.0	41.0	7751.3116794338475	10009.463719899513	-0.016	-0.0449	0.0173	0.0186	-0.2705	0.084	8726.356137474011	-0.07179304921899667	0.10073750207818756	-0.11068003966469099	0.1308491451340875	0.023592125332379057
10113.477412236201	1.0	42.0	7716.090986074472	10006.267701140316	-0.0118	-0.0403	0.0242	0.0123	-0.2583	0.0946	8738.521639009903	-0.07682069061440502	0.07430717220189281	-0.15541521684868362	-0.10857030328041205	0.08402663964888131
10131.844358766233	1.0	43.0	7718.282079317167	9995.971813491522	-0.01	-0.0375	0.0156	0.0038	-0.2325	0.0784	8730.116714625194	-0.05920365827214775	0.08764240813896577	-0.1572832467845302	-0.1215396564167727	-0.008945789052795925
10111.923048143262	1.0	44.0	7739.88816748681	10018.9588723952	-0.0215	-0.0441	0.018	0.0081	-0.2271	0.0977	8751.876894451521	-0.06821141441405633	0.10318537346081459	-0.0416933649397244	-0.08843568834596595	0.014006352088305094
10085.027014001624	1.0	45.0	7755.913467431006	10012.676272371893	-0.0029	-0.0425	0.028	0.0067	-0.2189	0.103	8734.029453303394	-0.047517872509021446	0.11048411141865201	0.0004236312415604893	0.11940383628431149	0.0036630951207709426
10084.30613966112	1.0	46.0	7751.277506087662	10011.138230921937	-0.0117	-0.039	0.0242	0.0176	-0.2185	0.1044	8744.980664798768	-0.05180292883580543	0.10421303050622484	-0.07362395681367914	0.08097024996443114	-0.07183704087444183
10134.825810420049	1.0	47.0	7740.9483213271105	9993.704957932152	-0.0067	-0.0288	0.0297	0.0221	-0.2125	0.1268	8740.695251030309	-0.052013781158801474	0.11284975453537935	-0.09713145950986245	-0.03749505882475014	-0.10773859853100028
10146.852348823051	1.0	48.0	7743.559252739448	10005.695456930387	-0.0232	-0.0497	0.0292	-0.0022	-0.2171	0.0794	8751.86163996873	-0.03275351828183884	0.11896600120369513	-0.04877679274840783	-0.019266137307746647	0.12998726245936748
10161.99281529018	1.0	49.0	7740.100967177354	9989.32692743462	0.0054	-0.0584	0.0192	0.0121	-0.2254	0.056	8728.532757935196	-0.032222586918232224	0.11986020843971908	-0.13031615615607503	-0.00019245744076301443	-0.002991261247285496
10174.487095424107	1.0	50.0	7742.685350294237	9985.846348277148	0.0022	-0.0566	0.0335	0.0052	-0.2039	0.0987	8725.84408320558	-0.022167443601963634	0.11668848409917473	-0.09147992541444462	0.07018457203004036	0.12441669135456863
10117.930042613636	1.0	51.0	7746.913344155844	10004.648135744226	0.019	-0.0441	0.0419	0.0037	-0.178	0.111	8746.773771360278	-0.01954933795892789	0.1126430657729578	-0.08090641717496633	0.013081280770895688	0.0032320338363896386
10156.135539265422	1.0	52.0	7767.31675920759	10000.766404977036	0.0134	-0.0228	0.0334	0.0127	-0.1771	0.0363	8740.88345488873	-0.0063042325062309815	0.1385195454187041	-0.00018196596552938824	0.1632271974979171	-0.10354960298006936
10247.427144632711	1.0	53.0	7762.264797458401	9996.21817598475	-0.0016	-0.0162	0.0461	-0.0001	-0.1688	0.0651	8739.235507105037	0.015129307603512753	0.13932548927536328	-0.022061796272471988	0.12218007332109447	-0.03626042903761489
10204.075201653815	1.0	54.0	7742.050609146712	9990.712190467053	-0.0029	-0.0171	0.0304	0.0132	-0.1583	0.0597	8734.221251810828	0.025733910130200228	0.11820574087621932	-0.03784679036145246	-0.01163313112860569	0.020414244971872893
10113.027185217126	1.0	55.0	7741.781692243304	9987.198553781122	0.0039	-0.0276	0.0331	0.0142	-0.1696	0.0101	8731.971167285505	0.03674679124119633	0.11596665500836512	-0.04028827905735532	-0.011245973329212521	0.044710707734179914
10170.349964488636	1.0	56.0	7751.876077389407	9984.068423401815	0.0156	-0.017	0.0382	0.0117	-0.1544	0.0149	8739.15905213026	0.04577868255194836	0.14186905920113407	0.013935750403572046	0.044468723412553264	-0.0470424580876198
10174.89307908888	1.0	57.0	7753.89571580763	9990.370900984672	0.0046	-0.0395	0.0331	0.0161	-0.1438	0.0601	8742.203142991879	0.03132693609212725	0.1257726436405927	-0.0036783466608862	0.021855979872712983	0.021836694165096246
10158.826488940747	1.0	58.0	7751.014605189732	10012.229109730024	0.0023	-0.0433	0.0204	0.0177	-0.1355	0.0107	8746.088984844942	0.029208073005675267	0.14298314182916963	-0.011836662434730843	0.06372510679968352	-0.04278983633129272
10137.819703733767	1.0	59.0	7754.925158406047	9994.463701727134	0.0033	-0.0116	0.0307	0.0123	-0.1193	0.0209	8728.609078341378	0.04931898786050977	0.12481312270426448	-0.004431312238021758	0.1010195542591537	0.02738742675038907
10131.66455078125	1.0	60.0	7751.615611175934	9963.641711946071	-0.001	-0.0139	0.029	0.0153	-0.1005	0.065	8714.37637380253	0.048281275258971655	0.13886527541709812	-0.002294031068317728	0.018809285024443692	-0.04998773885247398
10116.58433314732	1.0	61.0	7755.51689313616	9983.782751405883	0.016	-0.021	0.0284	0.0166	-0.1049	0.0244	8734.898064289146	0.07413889842468518	0.12909092138542871	0.0008385633916781519	0.040286785441551946	0.04550212735128833
10131.657283634335	1.0	62.0	7744.838665153206	9982.231976431058	0.0178	-0.0217	0.0311	0.0127	-0.0918	0.0194	8716.285414493392	0.059827479624844596	0.135013155699216	-0.0351264620612913	-0.03430027769333414	-0.04148005864483574
10121.756081321022	1.0	63.0	7749.062336140422	9981.748631392536	0.0082	-0.0228	0.0322	0.0056	-0.0875	0.0283	8722.768546434787	0.06869086946253503	0.12218723406748896	-0.017821071013548205	0.0022359109620226575	0.08180715790887581
10128.626642400568	1.0	64.0	7741.371204596185	9994.824872288897	-0.0027	-0.0111	0.046	-0.0032	-0.0893	0.0204	8744.26611425384	0.06851737964641337	0.11114428373297022	-0.004767142077149394	-0.05862014282335967	0.033447682583445625
10177.1494140625	1.0	65.0	7757.493559380073	10035.167701873615	0.0111	-0.0039	0.0446	0.0025	-0.0758	0.0262	8776.25531089841	0.0745605552242928	0.1290297933776138	0.015436056189527446	0.05275692538863934	0.04068070009904303
10198.63187398539	1.0	66.0	7766.669960049716	10026.896103591374	0.031	-0.0214	0.0339	0.002	-0.0632	-0.0012	8767.196208925558	0.09317858216808675	0.11867364353014856	0.0722052163602555	0.07895936858431009	-0.09123338316143
10131.388640168425	1.0	67.0	7762.55009080763	9997.786146191967	0.0234	-0.0127	0.0357	-0.0064	-0.062	0.0017	8739.519262125717	0.08846543398304131	0.11395172936244254	0.023293664547690003	0.10860599925374614	-0.11467663259470944
10100.725693739854	1.0	68.0	7745.961554763596	9986.99060899652	0.0261	-0.0117	0.0374	-0.0102	-0.0584	0.0146	8743.27764236905	0.09390855824321508	0.11964685988236924	0.014409875598311205	-0.032575731974666684	0.10637618828749022
10108.294160917209	1.0	69.0	7751.713320185674	9996.327397564863	0.0288	-0.0102	0.0397	-0.0039	-0.0486	-0.007	8752.818388943522	0.10709474271256864	0.1088074049018797	0.004569559441067072	0.014539868322919479	0.05385432393942116
10207.57673625203	1.0	70.0	7748.943304966518	10001.485393494318	0.0312	-0.007	0.0248	0.0025	-0.0515	-0.0017	8749.599378078992	0.11680236704380459	0.07933049252526621	-0.001044954539340232	-0.07217943100589813	-0.12884981186965222
10198.47840148133	1.0	71.0	7751.82356635552	10000.997133380617	0.0179	0.0034	0.0332	-0.0006	-0.0472	-0.0114	8745.043395816547	0.12303377024752232	0.06393634137950048	0.033729974007718176	-0.043087777626462626	-0.038076775344747314
10188.041288301541	1.0	72.0	7756.111574294846	10010.149205512897	0.0222	-0.0035	0.0311	-0.0061	-0.0282	-0.0333	8756.473184388062	0.12394991279471124	0.07743284376769048	0.06215220732111366	0.02721570331705566	0.07351910123536592
10180.046063311689	1.0	73.0	7744.341276760349	10007.462214977957	0.0382	-0.0003	0.0376	0.0008	-0.0287	-0.025	8765.375578663592	0.1244121500124407	0.06560446585120304	0.010193465719698567	-0.020024750070515115	0.17306705754709054
10210.650631594968	1.0	74.0	7745.549445388596	10020.581339191838	0.0324	-0.0015	0.0418	-0.0048	-0.0081	-0.0048	8768.552113704063	0.12687756473848338	0.07203102599756671	0.017490203374428182	-0.009062806950033564	0.043106888586704056
10235.519220525568	1.0	75.0	7757.571799918831	10004.075444034806	0.0271	0.0011	0.0297	-0.0012	-0.0024	0.0029	8748.652749155941	0.1293014130080316	0.05366064521719189	-0.00536014826703959	-0.006829133405441037	-0.054005081309395575
10193.932350852272	1.0	76.0	7756.804394277598	10002.567113529452	0.0343	-0.0052	0.0326	0.0049	-0.0115	-0.0116	8751.73205159863	0.12435447201021563	0.046649741791968846	0.035807688970113605	-0.00808872597916413	0.009341376512620443
10204.79792765828	1.0	77.0	7755.359356990665	10003.423242115601	0.0424	0.0069	0.0355	-0.0036	-0.0018	-0.0112	8756.280188807776	0.13490050505556034	0.05151227784649278	0.011699541137551952	-0.06126746291497046	0.01291465076863236
10208.845094358767	1.0	78.0	7746.064135298296	9984.689134585364	0.0372	-0.0268	0.0074	0.0171	0.0053	-0.0102	8752.035935712256	0.11959138806175527	0.05295912077643131	-0.012767051873216275	-0.0846141546099073	-0.08489262403585333
10145.700252384335	1.0	79.0	7750.184987063718	10006.563871993427	0.0251	-0.0363	0.0153	0.0154	0.0242	-0.0213	8766.987069695271	0.1360187975666701	0.028855278685191246	-0.01428781962401406	-0.07053607078917286	-0.04198885620313145
10141.589146205357	1.0	80.0	7761.40269429789	10000.041833388872	0.0101	-0.0073	0.0365	-0.0042	0.0357	-0.0149	8751.305520599619	0.1416463962435684	0.026817782761326344	0.03625638422048011	0.001438800431113203	0.018847935348533323
10156.31359070617	1.0	81.0	7754.499479758522	10000.049649814688	0.0164	-0.0173	0.0203	0.0053	0.0451	-0.0048	8753.217598081515	0.13233591908231138	0.03309726700005269	0.018145200076733346	-0.027506310203633727	0.026154764958974584
10177.122374695617	1.0	82.0	7755.598076806006	10007.983083346731	0.0342	-0.0206	0.0207	-0.0068	0.0343	-0.0497	8768.356396710227	0.1314414883649456	0.005693775684946136	0.06115496249268224	-0.0023500556372843583	0.001946481553600053
10128.440099939124	1.0	83.0	7738.835902622768	10020.738137140395	0.0456	-0.0119	0.0161	0.0001	0.0478	-0.1016	8776.263116428187	0.12920783092493413	-0.00610970388432442	0.021162259374134684	-0.11185358475065474	0.026146216202820986
10190.90583781453	1.0	84.0	7755.406580382508	10047.836535607372	0.0517	-0.0127	0.0327	0.0228	0.0801	-0.0364	8790.299757489052	0.1325307023445076	-0.009582393946416651	0.015796232480695324	-0.04321227346892369	-0.06831912176298259
10186.236689579951	1.0	85.0	7761.636789392249	10024.028192734571	0.0263	-0.0121	0.0422	0.0178	0.0737	-0.0279	8766.238498278137	0.13699659704665706	-0.0057953683210264515	0.020868496404051393	0.0004346517552138223	-0.018617389368213746
